dataset,key,value,filepath
video_metadata,pexels_id,32458352.0,epic/epic_32458352.mp4
video_metadata,pexels_id,33491955.0,happy/happy_33491955.mp4
video_metadata,pexels_id,6319579.0,happy/happy_6319579.mp4
video_metadata,pexels_id,32458352.0,relaxing/relaxing_32458352.mp4
video_metadata,pexels_id,33491955.0,romantic/romantic_33491955.mp4
video_metadata,pexels_id,6319579.0,romantic/romantic_6319579.mp4
audio_metadata,jamendo_id,1129271.0,energetic/energetic_1129271.mp3
audio_metadata,jamendo_id,1141572.0,energetic/energetic_1141572.mp3
audio_metadata,jamendo_id,1157358.0,energetic/energetic_1157358.mp3
audio_metadata,jamendo_id,1157362.0,energetic/energetic_1157362.mp3
audio_metadata,jamendo_id,1174817.0,energetic/energetic_1174817.mp3
audio_metadata,jamendo_id,1230403.0,energetic/energetic_1230403.mp3
audio_metadata,jamendo_id,1241876.0,energetic/energetic_1241876.mp3
audio_metadata,jamendo_id,1342712.0,energetic/energetic_1342712.mp3
audio_metadata,jamendo_id,1353511.0,energetic/energetic_1353511.mp3
audio_metadata,jamendo_id,1480482.0,energetic/energetic_1480482.mp3
audio_metadata,jamendo_id,1528165.0,energetic/energetic_1528165.mp3
audio_metadata,jamendo_id,1177377.0,epic/epic_1177377.mp3
audio_metadata,jamendo_id,1241876.0,epic/epic_1241876.mp3
audio_metadata,jamendo_id,1119654.0,happy/happy_1119654.mp3
audio_metadata,jamendo_id,1129271.0,happy/happy_1129271.mp3
audio_metadata,jamendo_id,1157362.0,happy/happy_1157362.mp3
audio_metadata,jamendo_id,1204669.0,happy/happy_1204669.mp3
audio_metadata,jamendo_id,1230403.0,happy/happy_1230403.mp3
audio_metadata,jamendo_id,1313604.0,happy/happy_1313604.mp3
audio_metadata,jamendo_id,1342712.0,happy/happy_1342712.mp3
audio_metadata,jamendo_id,1353512.0,happy/happy_1353512.mp3
audio_metadata,jamendo_id,1436621.0,happy/happy_1436621.mp3
audio_metadata,jamendo_id,1528165.0,happy/happy_1528165.mp3
audio_metadata,jamendo_id,1174817.0,romantic/melancholic_1174817.mp3
audio_metadata,jamendo_id,1119654.0,romantic/romantic_1119654.mp3
audio_metadata,jamendo_id,1141572.0,romantic/romantic_1141572.mp3
audio_metadata,jamendo_id,1157358.0,romantic/romantic_1157358.mp3
audio_metadata,jamendo_id,1177377.0,romantic/romantic_1177377.mp3
audio_metadata,jamendo_id,1204669.0,romantic/romantic_1204669.mp3
audio_metadata,jamendo_id,1313604.0,romantic/romantic_1313604.mp3
audio_metadata,jamendo_id,1353511.0,romantic/romantic_1353511.mp3
audio_metadata,jamendo_id,1353512.0,romantic/romantic_1353512.mp3
audio_metadata,jamendo_id,1436621.0,romantic/romantic_1436621.mp3
audio_metadata,jamendo_id,1480482.0,romantic/romantic_1480482.mp3
